protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,0,136,76,8091,4,1,0,10,0,3,0,0,0,0,1,0,5113,1.5824369254840602,10336
0,0,0,37,162,108,1,1,1,10,0,10,0,0,1,0,1,1,3140,0.034394904458598725,5994
0,0,0,31,150,2620,1,1,0,12,1,11,0,0,0,0,0,0,4737,0.5530926746886214,4650
0,0,0,35,148,109,1,1,1,14,0,14,0,0,0,0,1,1,3145,0.03465818759936407,5180
0,0,1,123,998,86,0,1,1,14,0,14,0,0,0,0,1,1,3138,0.027405991077119184,122754
0,0,0,30,176,122,0,1,1,11,0,11,0,0,0,0,1,1,3149,0.0387424579231502,5280
0,0,1,1387,12,121369,164,1,0,12,0,12,0,1,0,0,1,1,4875,24.89620512820513,16644
0,0,1,86,233,4321,4,1,0,6,0,14,0,0,0,0,1,1,4913,0.8795033584368003,20038
0,0,1,32612,43262,3057,242,1,0,14,0,19,0,0,0,0,1,1,5009,0.6103014573767219,1410860344
0,0,1,88387,44009,441867,1561,1,1,7,0,35,0,0,1,0,1,1,4942,89.4105625252934,3889823483
1,0,1,393,361,65105,1,1,0,6,1,13,0,0,0,0,1,1,4726,13.775920440118494,141873
1,0,1,34750,510,3456,740,1,0,9,0,18,0,0,0,0,1,0,4893,0.7063151440833845,17722500
0,0,1,3519,1497,35160,23,1,0,12,0,16,0,0,0,0,1,0,4972,7.071600965406275,5267943
0,0,1,1707640,85,43009,3077,1,1,15,0,16,0,0,0,0,1,1,4856,8.856878088962109,145149400
0,0,0,36,155,85,0,1,1,13,0,13,0,0,4,0,1,1,3147,0.027009850651414046,5580
0,0,0,344,405,22543,0,1,1,13,0,17,0,0,0,0,1,0,3854,5.8492475350285416,139320
0,0,1,5261,1197,176665,444,1,0,8,1,9,1,0,0,0,0,1,4940,35.762145748987855,6297417
0,0,1,618,776,15284,8,1,0,11,0,8,0,0,0,0,1,1,4818,3.1722706517227066,479568
0,0,1,755,1840,32408,36,1,0,13,0,20,0,0,0,0,1,1,4817,6.727838903882084,1389200
0,0,1,22614,14410,155939,1450,1,0,15,0,9,0,0,1,1,1,1,4804,32.46024146544546,325867740
0,0,0,425,392,32322,28,1,0,9,0,9,0,0,0,1,1,1,5100,6.33764705882353,166600
0,0,1,2093,1032,928,26,1,0,13,0,46,0,0,0,0,1,1,4835,0.19193381592554293,2159976
0,1,1,20521614,1086,401138,128603,1,1,3,0,23,0,0,0,1,1,1,5669,70.75992238490034,22286472804
0,0,1,2281,65,183402,1,1,0,10,0,10,0,0,0,0,1,0,4816,38.08181063122924,148265
0,0,1,2351,88,2386,51,1,0,12,0,8,0,0,0,0,1,1,4791,0.49801711542475474,206888
0,0,1,5380,4457,45589,481,1,0,11,0,20,1,0,0,0,1,1,4988,9.139735364875701,23978660
0,0,0,299,1963,7094,0,1,0,10,0,14,0,0,0,0,1,1,4885,1.452200614124872,586937
0,0,1,47,62,5826,1,1,0,9,0,4,0,0,0,0,1,1,5032,1.1577901430842608,2914
